abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
0,-348,0,1,0,0,0,1,0,0,0
19,-328,0,0,0,0,1,0,0,0,0
20,99,0,1,0,0,0,0,0,1,1
10,39,1,0,0,0,0,1,0,1,1
24,109,0,0,1,0,0,1,0,1,1
21,68,0,1,0,0,0,1,0,1,1
15,79,0,1,0,0,0,0,0,1,1
14,-243,1,0,0,0,0,1,1,0,0
25,269,0,0,1,0,0,0,0,1,1
5,-259,0,1,0,0,0,1,0,0,0
24,357,0,1,0,0,0,1,0,1,1
26,175,1,0,0,0,0,0,0,1,1
26,181,1,0,0,0,0,1,0,1,1
25,298,1,0,0,0,0,1,0,1,1
26,-146,0,1,0,0,0,0,0,0,0
8,-137,1,0,0,0,0,0,0,0,0
14,-151,1,0,0,0,0,0,0,0,0
3,-359,0,1,0,0,0,1,1,0,0
26,14,0,0,1,0,0,0,0,1,1
6,-137,0,1,0,0,0,0,0,0,0
15,-315,0,1,0,0,0,1,0,0,0
16,156,0,1,0,0,0,1,0,1,1
0,-87,1,0,0,0,0,0,0,0,0
0,-96,0,1,0,0,0,0,0,0,0
19,-27,0,1,0,0,0,0,0,0,0
1,-16,0,0,1,0,0,0,0,0,0
23,166,0,1,0,0,0,1,0,1,1
